symbol,companyname,ipostartdate,ipoenddate,pricerange,listingdate,securitytype,issueprice,company,htmsym,linkremovaldate
E2ERAIL,E TO E Transportation Infrastructure Limited,26-DEC-2025,30-DEC-2025,RS.164 to RS.174,02-JAN-2026,SME,174,E TO E Transportation Infrastructure Limited,,
DHARARAIL,Dhara Rail Projects Limited,23-DEC-2025,26-DEC-2025,RS.120 to RS.126,31-DEC-2025,SME,126,Dhara Rail Projects Limited,,
GKSL,,22-DEC-2025,24-DEC-2025,Rs.108 to Rs.114,30-DEC-2025,EQ,   114,Gujarat Kidney and Super Speciality Limited,gksl,25-DEC-2025
EPWINDIA,EPW India Limited,22-DEC-2025,24-DEC-2025,RS.95 to RS.97,30-DEC-2025,SME,97,EPW India Limited,,
SOCL,Sundrex Oil Company Limited,22-DEC-2025,24-DEC-2025,RS.81 to RS.86,30-DEC-2025,SME,86,Sundrex Oil Company Limited,,
SHYAMDHANI,Shyam Dhani Industries Limited,22-DEC-2025,24-DEC-2025,RS.65 to RS.70,30-DEC-2025,SME,70,Shyam Dhani Industries Limited,,
MARC,Marc Technocrats Limited,17-DEC-2025,19-DEC-2025,RS.88 to RS.93,24-DEC-2025,SME,93,Marc Technocrats Limited,,
KSHINTL,,16-DEC-2025,18-DEC-2025,Rs.365 to Rs.384,23-DEC-2025,EQ,   384,KSH International Limited,kshintl,19-DEC-2025
ICICIAMC,,12-DEC-2025,16-DEC-2025,Rs.2061 to Rs.2165,19-DEC-2025,EQ,  2165,ICICI Prudential Asset Management Company Limited,iciciamc,17-DEC-2025
EXIMROUTES,Exim Routes Limited,12-DEC-2025,16-DEC-2025,RS.83 to RS.88,19-DEC-2025,SME,88,Exim Routes Limited,,
ASHWINI,Ashwini Container Movers Limited,12-DEC-2025,16-DEC-2025,RS.135 to RS.142,19-DEC-2025,SME,142,Ashwini Container Movers Limited,,
NEPHROPLUS,,10-DEC-2025,12-DEC-2025,Rs.438 to Rs.460,17-DEC-2025,EQ,   460,Nephrocare Health Services Limited,nephroplus,13-DEC-2025
PARKHOSPS,,10-DEC-2025,12-DEC-2025,Rs.154 to Rs.162,17-DEC-2025,EQ,   162,Park Medi World Limited,parkhosps,13-DEC-2025
CORONA,,08-DEC-2025,10-DEC-2025,Rs.1008 to Rs.1062,15-DEC-2025,EQ,  1062,Corona Remedies Limited,corona,11-DEC-2025
