~id,Company,~URLRewrite_Folder_Name,Closing Date,Total Issue Amount (Incl.Firm reservations) (Rs.cr.),QIB (x),sNII (x),bNII (x),NII (x),Retail (x),Employee (x),Shareholder (x),Others (x),Total (x),Applications,~Issue_Close_Date,~Issue_Open_Date,~Highlight_Row,ipo_type,year,Company Name,Open Date,Close Date
35,Shree Ashtavinayak Cine Vision,ashtavinayak_ipo,"Dec 20, 2006",0.00,6.13,,,10.67,3.94,,,,6.04,,2006-12-20,2006-12-14,,MAINBOARD,2006,,,
34,Pyramid Saimira Theatre Ltd,pyramid_saimira_ipo,"Dec 18, 2006",0.00,15.31,,,29.79,14.48,0.89,,,16.26,,2006-12-18,2006-12-11,,MAINBOARD,2006,,,
29,Cairn India Ltd,cairn_ipo,"Dec 15, 2006",0.00,1.36,,,0.47,0.91,,,,1.14,,2006-12-15,2006-12-11,,MAINBOARD,2006,,,
31,Tanla Solutions Ltd,tanla_ipo,"Dec 14, 2006",0.00,57.06,,,41.58,11.09,,,,38.65,,2006-12-14,2006-12-11,,MAINBOARD,2006,,,
149,Precision Pipes and Profiles Company Ltd,precision_pipes_ipo,"Dec 20, 2007",75.00,5.03,,,8.58,18.7,,,,10.35,,2007-12-20,2007-12-17,,MAINBOARD,2007,,,
147,Porwal Auto Components Limited,porwal_auto_ipo,"Dec 20, 2007",37.50,0.21,,,0.48,2.44,,,,1.03,,2007-12-20,2007-12-17,,MAINBOARD,2007,,,
148,Manaksia Limited,manaksia_ipo,"Dec 19, 2007",248.00,13.7,,,2.73,5.09,0.05,,,8.98,,2007-12-19,2007-12-17,,MAINBOARD,2007,,,
146,Aries Agro Limited,aries_agro_ipo,"Dec 19, 2007",58.51,8.16,,,8.51,6.46,,,,7.62,,2007-12-19,2007-12-14,,MAINBOARD,2007,,,
145,Brigade Enterprises Limited,brigade_ipo,"Dec 13, 2007",745.62,18.29,,,4.89,5.59,1.46,,,13.07,,2007-12-13,2007-12-10,,MAINBOARD,2007,,,
144,Transformers and Rectifiers India Ltd,transformers_rectifiers_ipo,"Dec 12, 2007",139.27,110.53,,,121.7,58.61,1,,,91.31,,2007-12-12,2007-12-07,,MAINBOARD,2007,,,
142,BGR Energy Systems Limited,bgr_energy_ipo,"Dec 12, 2007",438.53,161.67,,,153.08,46.89,1.46,,,119.54,,2007-12-12,2007-12-05,,MAINBOARD,2007,,,
143,eClerx Services Limited,eclerx_ipo,"Dec 07, 2007",101.00,31.59,,,36.36,12.38,,,,26.3,,2007-12-07,2007-12-04,,MAINBOARD,2007,,,
139,Jyothi Laboratories Limited,jyothi_laboratories_ipo,"Nov 27, 2007",305.69,66.41,,,49.9,14.67,,,,45.83,,2007-11-27,2007-11-22,,MAINBOARD,2007,,,
140,Kaushalya Infrastructure Dev Corp Ltd,kaushalya_ipo,"Nov 23, 2007",51.00,2.84,,,17.27,10.15,1,,,7.2,,2007-11-23,2007-11-20,,MAINBOARD,2007,,,
137,Kolte-Patil Developers Limited,kolte_patil_developers_ipo,"Nov 22, 2007",275.54,60.97,,,68.81,16.58,3.15,,,46.18,,2007-11-22,2007-11-19,,MAINBOARD,2007,,,
138,Renaissance Jewellery Limited,renaissance_ipo,"Nov 21, 2007",79.86,23.13,,,55.93,10.51,,,,23.63,,2007-11-21,2007-11-19,,MAINBOARD,2007,,,
136,Edelweiss Capital Limited,edelweiss_ipo,"Nov 20, 2007",691.86,153.15,,,164.3,17.22,10.18,,,110.96,,2007-11-20,2007-11-15,,MAINBOARD,2007,,,
