sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
RELI,RELIANCE,Reliance Industries Ltd,Energy,Oil & Gas - Refining & Marketing,1882366.9433894,1391.0,27.026862844437744,7.197219819635489,1.8644200361216925,-10.494820153143293,-0.40810481850075503
HDBK,HDFCBANK,HDFC Bank Ltd,Financials,Private Banks,1439434.74157055,935.5,20.33322491615324,14.047097534079553,2.67479130538493,-6.055432817834903,0.3002037096601216
BRTI,BHARTIARTL,Bharti Airtel Ltd,Communication Services,Telecom Services,1182692.9219188099,1967.9,35.245243693957555,25.908885247977484,7.706461502445204,-6.623962040332143,0.5210195637738185
TCS,TCS,Tata Consultancy Services Ltd,Information Technology,IT Services & Consulting,1137671.43915992,3144.4,23.43153747780611,51.90336201827997,11.879080715038164,-4.046383887702164,-1.7405706071685203
ICBK,ICICIBANK,ICICI Bank Ltd,Financials,Private Banks,989615.7273391199,1383.6,19.393134033098708,17.044528468970086,3.010305256525488,2.2616407982261575,1.162535643781521
SBI,SBIN,State Bank of India,Financials,Public Banks,984168.4470193199,1066.2,12.68890627609559,16.57966960572751,1.9486068598611748,10.389812082621527,0.25387870239774757
INFY,INFY,Infosys Ltd,Information Technology,IT Services & Consulting,671382.31806315,1659.5,25.133168047884926,28.931464714291902,6.978808540930637,-0.47976011994003,-0.42004200420042004
BJFN,BAJFINANCE,Bajaj Finance Ltd,Financials,Consumer Finance,581321.55111577,935.15,34.939766815350225,18.946202587861993,5.8756804576712485,-6.278813389456803,0.0
HLL,HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,FMCG - Household Products,552764.84029812,2352.6,51.90767586610199,21.08044975849236,11.142430613358867,2.818932738953717,-1.0847628657921369
LART,LT,Larsen and Toubro Ltd,Industrials,Construction & Engineering,541014.25824041,3932.9,35.97860614442605,13.798467139801561,4.688015652883947,-3.01109741060419,3.661043753294678
LIC,LICI,Life Insurance Corporation Of India,Financials,Insurance,519282.3112521,821.0,10.746663179909973,45.93116095254424,4.072685531161218,-3.1439863151064684,-0.13987715137140147
HCLT,HCLTECH,HCL Technologies Ltd,Information Technology,IT Services & Consulting,465780.65135424,1721.6,26.784396282589995,25.213129965783217,6.685238921163722,3.8484738810471684,-0.46253469010175763
MRTI,MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Four Wheelers,455946.6128148,14502.0,31.444160274672086,15.945158209526376,4.737604806476315,-12.685893190438918,-2.520669489816495
AXBK,AXISBANK,Axis Bank Ltd,Financials,Private Banks,423491.46796748997,1363.7,15.094985119198965,16.245299058540695,2.2541654888214544,11.277029783761733,3.3262615547810346
KTKM,KOTAKBANK,Kotak Mahindra Bank Ltd,Financials,Private Banks,410186.3854702,412.4,18.538668121525852,15.394079141994343,2.604534119102022,-4.906843755764639,0.0
MAHM,M&M,Mahindra and Mahindra Ltd,Consumer Discretionary,Four Wheelers,406288.01037072,3384.4,31.424307211694543,14.972524720571585,4.360564036989578,-6.4798695736273455,-1.8786965093354904
