sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
RELI,RELIANCE,Reliance Industries Ltd,Energy,Oil & Gas - Refining & Marketing,1900771.1061716399,1402.5,27.291108232420743,7.197219819635489,1.882648729501459,-10.714285714285712,-0.14950875694147153
HDBK,HDFCBANK,HDFC Bank Ltd,Financials,Private Banks,1415913.1568739698,918.7,20.00096277309973,14.047097534079553,2.6310829465282852,-7.202020202020197,-0.17927962188297683
BRTI,BHARTIARTL,Bharti Airtel Ltd,Communication Services,Telecom Services,1199822.71354739,2002.2,35.75572589029682,25.908885247977484,7.8180797232733,-5.009962994591524,0.3055959120284623
TCS,TCS,Tata Consultancy Services Ltd,Information Technology,IT Services & Consulting,1129784.00837068,3150.4,23.269087561441726,51.90336201827997,11.79672352142799,-4.686412731068287,0.8902837379107212
ICBK,ICICIBANK,ICICI Bank Ltd,Financials,Private Banks,964866.4325724,1345.5,18.908131241230997,17.044528468970086,2.935020547447673,-0.7670182166826529,-0.25945144551519644
SBI,SBIN,State Bank of India,Financials,Public Banks,949507.47798389,1048.35,12.24202161030363,16.57966960572751,1.8799797846522206,6.843660823481437,1.9151314830116966
INFY,INFY,Infosys Ltd,Information Technology,IT Services & Consulting,669319.0159708799,1663.5,25.05592842327256,28.931464714291902,6.95736116307059,-1.3988500978009548,0.5500483558994143
BJFN,BAJFINANCE,Bajaj Finance Ltd,Financials,Consumer Finance,582005.34912275,942.85,34.98086582994348,18.946202587861993,5.882591914125761,-6.295965016895251,0.7049399198931934
HLL,HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,FMCG - Household Products,556383.2108416,2390.6,52.24746087347168,21.08044975849236,11.21536839770203,4.6718332676561936,0.954391891891888
LART,LT,Larsen and Toubro Ltd,Industrials,Construction & Engineering,518112.5354388,3793.8,34.45559255992677,13.798467139801561,4.489566844305139,-7.112601914648777,0.7248108323377189
LIC,LICI,Life Insurance Corporation Of India,Financials,Insurance,512040.18888445495,819.3,10.596785843235223,45.93116095254424,4.015886201889846,-3.5947520150614896,1.2043727997035392
MRTI,MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Four Wheelers,495812.859198,15765.0,34.19351865477719,15.945158209526376,5.151843042210143,-4.029950690935655,-0.03170577045022194
HCLT,HCLTECH,HCL Technologies Ltd,Information Technology,IT Services & Consulting,455202.10612425,1703.1,26.17608430846751,25.213129965783217,6.5334075771712135,2.9063444108761276,1.2243684992570525
MAHM,M&M,Mahindra and Mahindra Ltd,Consumer Discretionary,Four Wheelers,426412.4446724,3573.7,32.98082965344842,14.972524720571585,4.5765533899625925,-0.6670928648858994,0.5741142036979606
KTKM,KOTAKBANK,Kotak Mahindra Bank Ltd,Financials,Private Banks,419337.0031868,426.0,18.95223685750558,15.394079141994343,2.6626372080829595,-1.6665897234661435,1.0436432637571103
ITC,ITC,ITC Ltd,Consumer Staples,FMCG - Tobacco,406886.724147975,324.85,11.710106106634658,47.831412813357964,5.779810093135892,-19.34202358783364,0.030792917628952345
AXBK,AXISBANK,Axis Bank Ltd,Financials,Private Banks,399008.69872827,1294.8,14.222318099207955,16.245299058540695,2.123848309694564,4.893065456902128,0.770487975717944
SUN,SUNPHARMA,Sun Pharmaceutical Industries Ltd,Health Care,Pharmaceuticals,386988.7373113,1634.2,35.40921593399785,15.65631695122816,5.338810311671436,-6.649148863246879,1.3206026412052796
TITN,TITAN,Titan Company Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",361843.5024592,4018.6,108.4337735868145,31.755245753437695,31.129000555677905,1.8037189035821,-1.4855854089037044
ULTC,ULTRACEMCO,UltraTech Cement Ltd,Materials,Cement,359759.808639,12364.0,59.57166016830292,9.001721460300363,4.868635133643944,7.719114828367311,1.0874008666503148
NTPC,NTPC,NTPC Ltd,Utilities,Power Generation,328426.08195858,342.45,14.021844074387584,13.149637260833101,1.718404544968604,6.8486739469578755,1.1071744906997343
APSE,ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Industrials,Ports,317623.80125028,1414.2,28.63459471023437,18.517618582608744,4.8773116548307565,-5.883135897777177,2.5823298998984576
